Time,RTT
6.28123,0.0332283
6.28124,0.0331998
6.28248,0.0331748
6.28249,0.0331529
6.2836,0.0331338
6.28361,0.0331171
6.28473,0.0331025
6.28474,0.0330896
6.28585,0.0330784
6.28586,0.0330686
6.28698,0.0330601
6.28699,0.0330525
6.2881,0.033171
6.28811,0.0332746
6.28935,0.0332403
6.28936,0.0332102
6.29048,0.033184
6.29049,0.033161
6.2916,0.0331408
6.29161,0.0331232
6.29273,0.0331078
6.29274,0.0330944
6.29385,0.0330826
6.29386,0.0330722
6.29498,0.0330632
6.29499,0.0330553
6.2961,0.0331734
6.29611,0.0332767
6.29735,0.0332421
6.29736,0.0332119
6.29848,0.0331854
6.29849,0.0331622
6.2996,0.0331419
6.29961,0.0331242
6.30073,0.0331087
6.30074,0.0330951
6.30185,0.0330832
6.30186,0.0330728
6.30298,0.0330637
6.30299,0.0330557
6.30423,0.0331738
6.30424,0.033277
6.30535,0.0332424
6.30536,0.0332121
6.30648,0.0331856
6.30649,0.0331624
6.3076,0.0331421
6.30761,0.0331243
6.30873,0.0331088
6.30874,0.0330952
6.30985,0.0330833
6.30986,0.0330729
6.31098,0.0330638
6.31099,0.0330558
6.31223,0.0331738
6.31224,0.0332771
6.31335,0.0332425
6.31336,0.0332122
6.31448,0.0331856
6.31449,0.0331624
6.3156,0.0331421
6.31561,0.0331244
6.31673,0.0331088
6.31674,0.0330952
6.31785,0.0330833
6.31786,0.0330729
6.3191,0.0331888
6.31911,0.0332902
6.32023,0.0333789
6.32024,0.0334565
6.32135,0.0333995
6.32136,0.0333495
6.32248,0.0333058
6.32249,0.0332676
6.3236,0.0332342
6.32361,0.0332049
6.32473,0.0331793
6.32474,0.0331569
6.32598,0.0331373
6.32599,0.0331201
6.3271,0.0332301
6.32711,0.0333263
6.32823,0.0334105
6.32824,0.0334842
6.32935,0.0334237
6.32936,0.0333707
6.33048,0.0333244
6.33049,0.0332838
6.3316,0.0332484
6.33161,0.0332173
6.33273,0.0331901
6.33274,0.0331664
6.33398,0.0331456
6.33399,0.0331274
6.3351,0.0332365
6.33511,0.0333319
6.33623,0.0334154
6.33624,0.0334885
6.33735,0.0334274
6.33736,0.033374
6.33848,0.0333272
6.33849,0.0332863
6.3396,0.0332505
6.33961,0.0332192
6.34085,0.0331918
6.34086,0.0331678
6.34198,0.0331469
6.34199,0.0331285
6.3431,0.0332374
6.34311,0.0333328
6.34423,0.0334162
6.34424,0.0334891
6.34535,0.033428
6.34536,0.0333745
6.34648,0.0333277
6.34649,0.0332867
6.3476,0.0332509
6.34761,0.0332195
6.34885,0.0331921
6.34886,0.0331681
6.34998,0.0331471
6.34999,0.0331287
6.3511,0.0332376
6.35111,0.0333329
6.35223,0.0332913
6.35224,0.0332549
6.35335,0.033223
6.35336,0.0331951
6.35448,0.0331707
6.35449,0.0331494
6.35573,0.0331307
6.35574,0.0331144
6.35685,0.0331001
6.35686,0.0330876
6.35798,0.0330766
6.35799,0.033067
6.3591,0.0331837
6.35911,0.0332857
6.36023,0.03325
6.36024,0.0332187
6.36135,0.0331914
6.36136,0.0331675
6.36248,0.0331465
6.36249,0.0331282
6.36373,0.0331122
6.36374,0.0330982
6.36498,0.0330859
6.36499,0.0330752
6.36598,0.0330658
