Time	CellId	RNTI	BWPId	SINR(dB)
22.4047	1	1	0	8.84179
22.4048	1	1	0	8.81686
22.405	1	1	0	8.80617
22.405	1	1	0	8.821
22.4052	1	1	0	8.8111
22.4053	1	1	0	8.80571
22.4056	1	1	0	8.81555
22.4058	1	1	0	8.81436
22.4059	1	1	0	8.82482
22.4062	1	1	0	8.82858
22.4065	1	1	0	8.81621
22.4065	1	1	0	8.82566
22.4067	1	1	0	8.80561
22.4068	1	1	0	8.79568
22.4069	1	1	0	8.76877
22.407	1	1	0	8.75643
22.4073	1	1	0	8.77686
22.4074	1	1	0	8.78912
22.4075	1	1	0	8.80063
22.4077	1	1	0	8.7689
22.4078	1	1	0	8.78379
22.4079	1	1	0	8.76508
22.4082	1	1	0	8.73156
22.4083	1	1	0	8.73806
22.4084	1	1	0	8.73427
22.4086	1	1	0	8.73366
22.4087	1	1	0	8.74758
22.4089	1	1	0	8.73542
22.4091	1	1	0	8.75403
22.4093	1	1	0	8.77107
22.4095	1	1	0	8.76477
22.4097	1	1	0	8.79117
22.4098	1	1	0	8.80318
22.4099	1	1	0	8.82859
22.4102	1	1	0	8.8201
22.4103	1	1	0	8.84518
22.4104	1	1	0	8.81888
22.4106	1	1	0	8.82679
22.4107	1	1	0	8.81859
22.4108	1	1	0	8.80708
22.411	1	1	0	8.80456
22.411	1	1	0	8.79463
22.4113	1	1	0	8.79367
22.4114	1	1	0	8.81097
22.4116	1	1	0	8.82902
22.4118	1	1	0	8.84447
22.4119	1	1	0	8.83978
22.4122	1	1	0	8.84198
22.4124	1	1	0	8.81252
22.4125	1	1	0	8.82217
22.4127	1	1	0	8.82502
22.4128	1	1	0	8.82332
22.4129	1	1	0	8.82087
22.413	1	1	0	8.8267
22.4133	1	1	0	8.82951
22.4134	1	1	0	8.83986
22.4136	1	1	0	8.85862
22.4137	1	1	0	8.87409
22.4138	1	1	0	8.88122
22.4139	1	1	0	8.88956
22.4141	1	1	0	8.91206
22.4142	1	1	0	8.93519
22.4143	1	1	0	8.91329
22.4144	1	1	0	8.91368
22.4145	1	1	0	8.88376
22.4147	1	1	0	8.88849
22.4148	1	1	0	8.88904
22.4149	1	1	0	8.88207
22.415	1	1	0	8.86516
22.4152	1	1	0	8.87611
22.4153	1	1	0	8.91382
22.4154	1	1	0	8.92199
22.4155	1	1	0	8.9259
22.4157	1	1	0	8.92591
22.4158	1	1	0	8.94283
22.4159	1	1	0	8.96278
22.4161	1	1	0	8.97643
22.4162	1	1	0	9.01422
22.4163	1	1	0	9.01292
22.4164	1	1	0	9.0316
22.4165	1	1	0	9.0426
22.4167	1	1	0	9.04244
22.4168	1	1	0	9.0549
22.4169	1	1	0	9.0405
22.4171	1	1	0	9.05985
22.4172	1	1	0	9.08708
22.4173	1	1	0	9.08069
22.4176	1	1	0	9.07409
22.4177	1	1	0	9.05355
22.4178	1	1	0	9.05628
22.4179	1	1	0	9.04085
22.4182	1	1	0	9.04305
22.4183	1	1	0	9.02634
22.4184	1	1	0	9.01401
22.4185	1	1	0	9.00849
22.4187	1	1	0	9.00715
22.4192	1	1	0	9.00676
22.4194	1	1	0	9.02861
22.4198	1	1	0	9.04779
22.42	1	1	0	9.02303
22.4205	1	1	0	9.03489
22.4207	1	1	0	9.03884
22.4209	1	1	0	9.01334
22.4209	1	1	0	9.00578
22.4211	1	1	0	8.99473
22.4213	1	1	0	9.00265
22.4214	1	1	0	9.00708
22.4216	1	1	0	9.0246
22.4218	1	1	0	9.01808
22.4219	1	1	0	9.01469
22.4222	1	1	0	9.00057
22.4224	1	1	0	9.01241
22.4225	1	1	0	9.00304
22.4227	1	1	0	8.96198
22.423	1	1	0	8.93207
22.4232	1	1	0	8.9643
22.4233	1	1	0	8.95125
22.4235	1	1	0	8.93782
22.4235	1	1	0	8.93195
22.4237	1	1	0	8.93115
22.4238	1	1	0	8.96837
22.4239	1	1	0	8.92507
22.4241	1	1	0	8.93388
22.4242	1	1	0	8.92934
22.4243	1	1	0	8.95094
22.4244	1	1	0	8.94644
22.4245	1	1	0	8.91146
22.4247	1	1	0	8.91097
22.4248	1	1	0	8.90894
22.4249	1	1	0	8.91572
22.4251	1	1	0	8.91357
22.4252	1	1	0	8.89296
22.4253	1	1	0	8.89475
22.4254	1	1	0	8.88653
22.4256	1	1	0	8.88825
22.4257	1	1	0	8.89005
22.4258	1	1	0	8.8723
22.4259	1	1	0	8.84996
22.426	1	1	0	8.85716
22.4262	1	1	0	8.81888
22.4263	1	1	0	8.84204
22.4264	1	1	0	8.81792
22.4265	1	1	0	8.80689
22.4267	1	1	0	8.77456
22.427	1	1	0	8.746
22.4272	1	1	0	8.75378
22.4273	1	1	0	8.74359
22.4274	1	1	0	8.73334
22.4275	1	1	0	8.71463
22.4277	1	1	0	8.70573
22.4278	1	1	0	8.69288
22.428	1	1	0	8.68208
22.428	1	1	0	8.65737
22.4282	1	1	0	8.63596
22.4283	1	1	0	8.62398
22.4284	1	1	0	8.61159
22.4286	1	1	0	8.60342
22.4287	1	1	0	8.59146
22.4288	1	1	0	8.54689
22.4291	1	1	0	8.51922
22.4292	1	1	0	8.51419
22.4293	1	1	0	8.51808
22.4294	1	1	0	8.50204
22.4296	1	1	0	8.4892
22.4297	1	1	0	8.4979
22.4298	1	1	0	8.50821
22.4302	1	1	0	8.49702
22.4303	1	1	0	8.48698
22.4305	1	1	0	8.45191
22.4307	1	1	0	8.41097
22.4308	1	1	0	8.41438
22.4311	1	1	0	8.38949
22.4312	1	1	0	8.39246
22.4313	1	1	0	8.40299
22.4314	1	1	0	8.41269
22.4317	1	1	0	8.41639
22.4318	1	1	0	8.38474
22.4319	1	1	0	8.40472
22.432	1	1	0	8.3825
22.4323	1	1	0	8.33252
22.4325	1	1	0	8.3184
22.4326	1	1	0	8.31615
22.4327	1	1	0	8.28522
22.4328	1	1	0	8.28294
22.4331	1	1	0	8.26581
22.4333	1	1	0	8.23867
22.4334	1	1	0	8.2352
22.4335	1	1	0	8.19844
22.4337	1	1	0	8.17939
22.4339	1	1	0	8.18316
22.434	1	1	0	8.16481
22.4342	1	1	0	8.1569
22.4343	1	1	0	8.13582
22.4344	1	1	0	8.13331
22.4345	1	1	0	8.11112
22.4347	1	1	0	8.1057
22.4348	1	1	0	8.11087
22.4349	1	1	0	8.10313
22.435	1	1	0	8.10789
22.4352	1	1	0	8.0944
22.4354	1	1	0	8.08462
22.4356	1	1	0	8.07642
22.4357	1	1	0	8.0763
22.4358	1	1	0	8.06697
22.436	1	1	0	8.02612
22.4362	1	1	0	8.02196
22.4364	1	1	0	8.01679
22.4365	1	1	0	8.0226
22.4367	1	1	0	8.01099
22.4371	1	1	0	8.00227
22.4373	1	1	0	8.01271
22.4374	1	1	0	8.01892
22.4376	1	1	0	7.98956
22.438	1	1	0	7.97561
22.438	1	1	0	7.96929
22.4382	1	1	0	7.93851
22.4385	1	1	0	7.92766
22.4387	1	1	0	7.93746
22.4388	1	1	0	7.9418
22.4391	1	1	0	7.93983
22.4393	1	1	0	7.9404
22.4394	1	1	0	7.94395
22.4396	1	1	0	7.95911
22.4397	1	1	0	7.97686
22.4399	1	1	0	7.95486
22.44	1	1	0	7.95012
22.4402	1	1	0	7.93213
22.4403	1	1	0	7.94126
22.4404	1	1	0	7.94366
22.4406	1	1	0	7.95744
22.4407	1	1	0	7.9654
22.4408	1	1	0	7.97196
22.4411	1	1	0	7.97924
22.4411	1	1	0	7.9889
22.4413	1	1	0	8.01021
22.4416	1	1	0	8.00555
22.4419	1	1	0	8.00775
22.4421	1	1	0	8.0035
22.4422	1	1	0	8.02636
22.4425	1	1	0	8.06517
22.4425	1	1	0	8.06771
22.4427	1	1	0	8.09099
22.4431	1	1	0	8.10059
22.4433	1	1	0	8.10166
22.4435	1	1	0	8.11151
22.4437	1	1	0	8.12264
22.4441	1	1	0	8.1324
22.4442	1	1	0	8.1151
22.4443	1	1	0	8.11021
22.4444	1	1	0	8.13095
22.4447	1	1	0	8.12285
22.4448	1	1	0	8.1057
22.4449	1	1	0	8.10894
22.445	1	1	0	8.09699
