tstamp,gnb_x,gnb_y,gnb_vx,gnb_vy,camera_x,camera_y,camera_vx,camera_vy,ue_x,ue_y,ue_vx,ue_vy,obs_x,obs_y,obs_vx,obs_vy,Blockage,Ploss (dB),SNR (dB),Throughput (Mbit/s)
15,6.18,5,-0.3,0,0.28,9.53,0,0,5.897,8.738,0,0.1,3.793,7.014,-0.9,0.6,FALSE,11.5,35.6,36.8
15.2,6.18,5,0,0,0.28,9.53,0,0,5.891,8.72,0,-0.1,3.794,7.017,0,0,FALSE,11.4,36.2,36.8
15.4,6.25,5,0.4,0,0.28,9.53,0,0,6.302,8.69,2.1,-0.1,3.979,6.885,0.9,-0.7,FALSE,11.3,38.3,34.5
15.6,6.39,5,0.7,0,0.28,9.53,0,0,6.307,8.704,0,0.1,3.801,7.037,-0.9,0.8,FALSE,11.4,36.3,36.4
15.8,6.39,5,0,0,0.28,9.53,0,0,6.304,8.695,0,0,3.979,6.885,0.9,-0.8,FALSE,11.4,36.6,37.2
16,6.39,5,0,0,0.28,9.53,0,0,6.304,8.695,0,0,3.79,7.004,-0.9,0.6,FALSE,11.4,36.4,36.4
16.2,6.46,5,0.4,0,0.28,9.53,0,0,6.3,8.686,0,0,3.981,6.888,1,-0.6,FALSE,11.3,37,34.5
16.4,6.46,5,0,0,0.28,9.53,0,0,5.901,8.746,-2,0.3,3.794,7.017,-0.9,0.6,FALSE,11.6,35.5,33.8
16.6,6.46,5,0,0,0.28,9.53,0,0,6.292,8.662,2,-0.4,3.98,6.888,0.9,-0.6,FALSE,11.3,37.5,36
16.8,6.46,5,0,0,0.28,9.53,0,0,6.302,8.69,0.1,0.1,3.794,7.017,-0.9,0.6,FALSE,11.3,35.5,36
17,6.53,5,0.4,0,0.28,9.53,0,0,6.295,8.672,0,-0.1,3.982,6.892,0.9,-0.6,FALSE,11.3,37.7,36
17.2,6.53,5,0,0,0.28,9.53,0,0,6.294,8.667,0,0,3.978,6.881,0,-0.1,FALSE,11.3,38,34.6
