% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.06975	1	0	0	1	307	0	0	1	4	15	1	0	26	1845
3.07	1	0	0	1	307	0	2	1	4	14	1	0	26	1845
3.07025	1	0	0	1	307	0	4	1	4	13	1	0	26	1845
3.0705	1	0	0	1	307	0	6	1	4	15	1	0	26	1845
3.07088	1	0	0	1	307	1	1	1	4	14	1	0	26	1845
3.07112	1	0	0	1	307	1	3	1	4	15	1	0	26	1845
3.07138	1	0	0	1	307	1	5	1	4	13	1	0	26	1845
3.07175	1	0	0	1	307	2	0	1	4	15	1	0	26	1845
3.072	1	0	0	1	307	2	2	1	4	14	1	0	26	1845
3.07225	1	0	0	1	307	2	4	1	4	13	1	0	26	1845
3.0725	1	0	0	1	307	2	6	1	4	15	1	0	26	1845
3.07287	1	0	0	1	307	3	1	1	4	14	1	0	26	1845
3.07313	1	0	0	1	307	3	3	1	4	15	1	0	26	1845
3.07337	1	0	0	1	307	3	5	1	4	13	1	0	26	1845
3.07375	1	0	0	1	307	4	0	1	4	15	1	0	26	1845
3.074	1	0	0	1	307	4	2	1	4	14	1	0	26	1845
3.07425	1	0	0	1	307	4	4	1	4	13	1	0	26	1845
3.0745	1	0	0	1	307	4	6	1	4	15	1	0	26	1845
3.07488	1	0	0	1	307	5	1	1	4	14	1	0	26	1845
3.07512	1	0	0	1	307	5	3	1	4	15	1	0	26	1845
3.07538	1	0	0	1	307	5	5	1	4	13	1	0	26	1845
3.07575	1	0	0	1	307	6	0	1	4	15	1	0	26	1845
3.076	1	0	0	1	307	6	2	1	4	14	1	0	26	1845
3.07625	1	0	0	1	307	6	4	1	4	13	1	0	28	1997
3.0765	1	0	0	1	307	6	6	1	4	15	1	0	28	1997
3.07687	1	0	0	1	307	7	1	1	4	14	1	0	28	1997
3.07713	1	0	0	1	307	7	3	1	4	15	1	0	28	1997
3.07737	1	0	0	1	307	7	5	1	4	13	1	0	28	1997
3.07775	1	0	0	1	307	8	0	1	4	15	1	0	28	1997
3.078	1	0	0	1	307	8	2	1	4	14	1	0	28	1997
3.07825	1	0	0	1	307	8	4	1	4	13	1	0	28	1997
3.07863	1	0	0	1	307	8	7	1	4	15	1	0	28	1997
3.07888	1	0	0	1	307	9	1	1	4	14	1	0	28	1997
3.07912	1	0	0	1	307	9	3	1	4	13	1	0	28	1997
3.07938	1	0	0	1	307	9	5	1	4	15	1	0	28	1997
3.07975	1	0	0	1	308	0	0	1	4	14	1	0	28	1997
3.08	1	0	0	1	308	0	2	1	4	15	1	0	28	1997
3.08025	1	0	0	1	308	0	4	1	4	13	1	0	28	1997
3.08062	1	0	0	1	308	0	7	1	4	15	1	0	28	1997
3.08087	1	0	0	1	308	1	1	1	4	14	1	0	28	1997
3.08113	1	0	0	1	308	1	3	1	4	13	1	0	28	1997
3.08137	1	0	0	1	308	1	5	1	4	15	1	0	28	1997
3.08175	1	0	0	1	308	2	0	1	4	14	1	0	28	1997
3.082	1	0	0	1	308	2	2	1	4	15	1	0	28	1997
3.08225	1	0	0	1	308	2	4	1	4	13	1	0	28	1997
3.08263	1	0	0	1	308	2	7	1	4	15	1	0	28	1997
3.08288	1	0	0	1	308	3	1	1	4	14	1	0	28	1997
3.08312	1	0	0	1	308	3	3	1	4	13	1	0	28	1997
3.08338	1	0	0	1	308	3	5	1	4	15	1	0	28	1997
3.08375	1	0	0	1	308	4	0	1	4	14	1	0	28	1997
3.084	1	0	0	1	308	4	2	1	4	15	1	0	28	1997
3.08425	1	0	0	1	308	4	4	1	4	13	1	0	28	1997
3.08462	1	0	0	1	308	4	7	1	4	15	1	0	28	1997
3.08487	1	0	0	1	308	5	1	1	4	14	1	0	28	1997
3.08513	1	0	0	1	308	5	3	1	4	13	1	0	28	1997
3.08537	1	0	0	1	308	5	5	1	4	15	1	0	28	1997
3.08575	1	0	0	1	308	6	0	1	4	14	1	0	28	1997
3.086	1	0	0	1	308	6	2	1	4	15	1	0	28	1997
3.08625	1	0	0	1	308	6	4	1	4	13	1	0	28	1997
3.08663	1	0	0	1	308	6	7	1	4	15	1	0	28	1997
3.08688	1	0	0	1	308	7	1	1	4	14	1	0	28	1997
3.08712	1	0	0	1	308	7	3	1	4	13	1	0	28	1997
3.08738	1	0	0	1	308	7	5	1	4	15	1	0	28	1997
3.08775	1	0	0	1	308	8	0	1	4	14	1	0	28	1997
3.088	1	0	0	1	308	8	2	1	4	15	1	0	28	1997
3.08825	1	0	0	1	308	8	4	1	4	13	1	0	28	1997
3.08862	1	0	0	1	308	8	7	1	4	15	1	0	28	1997
3.08887	1	0	0	1	308	9	1	1	4	14	1	0	28	1997
3.08913	1	0	0	1	308	9	3	1	4	13	1	0	28	1997
3.08937	1	0	0	1	308	9	5	1	4	15	1	0	28	1997
3.08975	1	0	0	1	309	0	0	1	4	14	1	0	28	1997
3.09	1	0	0	1	309	0	2	1	4	15	1	0	28	1997
3.09025	1	0	0	1	309	0	4	1	4	13	1	0	28	1997
3.09063	1	0	0	1	309	0	7	1	4	15	1	0	28	1997
3.09088	1	0	0	1	309	1	1	1	4	14	1	0	28	1997
3.09112	1	0	0	1	309	1	3	1	4	13	1	0	28	1997
3.0915	1	0	0	1	309	1	6	1	4	15	1	0	28	1997
3.09175	1	0	0	1	309	2	0	1	4	14	1	0	28	1997
3.092	1	0	0	1	309	2	2	1	4	13	1	0	28	1997
3.09225	1	0	0	1	309	2	4	1	4	15	1	0	28	1997
3.09262	1	0	0	1	309	2	7	1	4	14	1	0	28	1997
3.09287	1	0	0	1	309	3	1	1	4	15	1	0	28	1997
3.09313	1	0	0	1	309	3	3	1	4	13	1	0	28	1997
3.0935	1	0	0	1	309	3	6	1	4	15	1	0	28	1997
3.09375	1	0	0	1	309	4	0	1	4	14	1	0	28	1997
